QK93100050,OSD: SRM,OSD: SRM,OSD: SRM    OSD: SRM
Q 93200516,OSD: SRM TEC,OSD: SRM TECH GENERAL,OSD: SRM TECOSD: SRM TECH GENERAL
QK93100051,OSD: SCM,OSD: SCM,OSD: SCM    OSD: SCM
Q 93200517,OSD: SCM TEC,OSD: SCM TECH GENERAL,OSD: SCM TECOSD: SCM TECH GENERAL
Q 93200518,OSD: SCM LIV,OSD: SCM LIVE CACHE,OSD: SCM LIVOSD: SCM LIVE CACHE
QK93100052,OSD: ERP / E,OSD: ERP / ECC,OSD: ERP / EOSD: ERP / ECC
Q 93200520,OSD: ERP/ECC,OSD: ERP/ECC TECH GENERAL,OSD: ERP/ECCOSD: ERP/ECC TECH GENERAL
Q 93200521,OSD: ERP/ECC,OSD: ERP/ECC TECH ABAP / PERFORMANCE,OSD: ERP/ECCOSD: ERP/ECC TECH ABAP / PERFORMANCE
QK93100053,OSD: UPGRADE,OSD: UPGRADE,OSD: UPGRADEOSD: UPGRADE
Q 93200523,OSD: UPG UNI,OSD: UPG UNICODE CONVERSION,OSD: UPG UNIOSD: UPG UNICODE CONVERSION
QK93100054,OSD: DATA BA,OSD: DATA BASE,OSD: DATA BAOSD: DATA BASE
Q 93200524,OSD: DB ORAC,OSD: DB ORACLE,OSD: DB ORACOSD: DB ORACLE
Q 93200525,OSD: ORACLE,OSD: ORACLE REAL APPLIC. CLUSTERS (RAC),OSD: ORACLE OSD: ORACLE REAL APPLIC. CLUSTERS (RAC)
Q 93200532,OSD: DB MSSQ,OSD: DB MSSQL,OSD: DB MSSQOSD: DB MSSQL
Q 93200533,OSD: DB MAX,OSD: DB MAX DB,OSD: DB MAX OSD: DB MAX DB
Q 93201100,OSD: MOBILE,OSD: MOBILE SYCLO,OSD: MOBILE OSD: MOBILE SYCLO
QK93100154,OSD: ESRV AP,OSD: ESRV APPOPS MONITORING AND RCA,OSD: ESRV APOSD: ESRV APPOPS MONITORING AND RCA
Q 93200707,OSD: APPOP S,OSD: ESRV APPOPS SYSTEM MONIT.,OSD: APPOP SOSD: ESRV APPOPS SYSTEM MONIT.
Q 93200708,OSD: APPOP P,OSD: ESRV APPOPS PI/BPM/MESSFLOW MONIT.,OSD: APPOP POSD: ESRV APPOPS PI/BPM/MESSFLOW MONIT.
Q 93200709,OSD: APPOP B,OSD: ESRV APPOPS BI/BO/HANA/DS MONIT.,OSD: APPOP BOSD: ESRV APPOPS BI/BO/HANA/DS MONIT.
